provider,model,status,category,note
amd,DeepSeek-V4-Flash,TRANSPORT,限流,超时/连接异常：TimeoutError: The read operation timed out
amd,Qwen3.8-Flash-Next,OK,可用,
apinex,free/deepseek-v4-flash-0731,OK,可用,
apinex,free/deepseek-v4-pro-0813,OK,可用,
apinex,free/deepseek-v4.1-flash,OK,可用,
apinex,free/gemini-3.8-flash,OK,可用,
apinex,free/glm-5.3-flash,OK,可用,
apinex,free/gpt-5.6-luna,OK,可用,
apinex,free/mimo-v2.5,OK,可用,
apinex,free/muse-spark-1.3,OK,可用,
apinex,free/qwen-3.8-max,OK,可用,
baidu-qianfan,ernie-4.5-turbo-128k,OK,可用,
baidu-qianfan,ernie-4.5-turbo-32k,OK,可用,
baidu-qianfan,ernie-4.5-turbo-vl,OK,可用,
codecraft,claude-fable-5,OK,可用,
codecraft,claude-mythos-preview,OK,可用,
codecraft,claude-opus-5,OK,可用,
codecraft,gpt-5.6-sol,OK,可用,
codecraft,kimi-k3,OK,可用,
codecraft,qwen3.8-max,OK,可用,
duoyuanx,gpt-5.4,AUTH,账户,"上游：该分组下未配置可用的 Codex 美元预算：{""error"":""该分组下未配置可用的 Codex 美元预算""}"
duoyuanx,gpt-5.5,AUTH,账户,"上游：该分组下未配置可用的 Codex 美元预算：{""error"":""该分组下未配置可用的 Codex 美元预算""}"
duoyuanx,gpt-5.6-luna,AUTH,账户,"上游：该分组下未配置可用的 Codex 美元预算：{""error"":""该分组下未配置可用的 Codex 美元预算""}"
duoyuanx,gpt-5.6-sol,AUTH,账户,"上游：该分组下未配置可用的 Codex 美元预算：{""error"":""该分组下未配置可用的 Codex 美元预算""}"
duoyuanx,gpt-5.6-terra,AUTH,账户,"上游：该分组下未配置可用的 Codex 美元预算：{""error"":""该分组下未配置可用的 Codex 美元预算""}"
groq,openai/gpt-oss-120b,OK,可用,
groq,openai/gpt-oss-20b,OK,可用,
groq,qwen/qwen3.8-27b,OK,可用,
hy3-free,hy3,OK,可用,
hy3-free,hy3-preview,OK,可用,
justdowork,claude-opus-5,AUTH,账户,"Cloudflare 403 Attention Required（服务端拦截）：<!DOCTYPE html> <!--[if lt IE 7]> <html class=""no-js ie6 oldie"" lang="""
justdowork,claude-opus-5-thinking,AUTH,账户,"Cloudflare 403 Attention Required（服务端拦截）：<!DOCTYPE html> <!--[if lt IE 7]> <html class=""no-js ie6 oldie"" lang="""
modelscope,deepseek-ai/DeepSeek-V4-Flash-0731,OK,可用,
modelscope,deepseek-ai/DeepSeek-V4-Pro-0813,OK,可用,
modelscope,deepseek-ai/DeepSeek-V4.1-Flash,OK,可用,
opencode-go,deepseek-v4-flash,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Monthly usage limit reached"
opencode-go,deepseek-v4-pro,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Monthly usage limit reached"
opencode-go,glm-5.2,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Monthly usage limit reached"
opencode-go,kimi-k3,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Monthly usage limit reached"
openrouter,cohere/north-mini-code:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,google/gemma-4-26b-a4b-it:free,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4"
openrouter,google/gemma-4-31b-it:free,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-4"
openrouter,inclusionai/ling-3.0-flash-vl:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,liquid/lfm-2.5-2.6b:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,nex-agi/nex-n2.5-mini:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,nex-agi/nex-n2.5-pro:free,TRANSPORT,可用,复测通过（首轮为瞬时失败：TRANSPORT）
openrouter,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,nvidia/nemotron-3-super-120b-a12b:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,nvidia/nemotron-3-ultra-550b-a55b:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,nvidia/nemotron-3.5-lightning:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,openrouter/free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,poolside/laguna-s-2.1:free,OK,可用,200（响应体合法，choices 在截断之后）
openrouter,poolside/laguna-xs-2.1:free,OK,可用,200（响应体合法，choices 在截断之后）
qiniu,deepseek/deepseek-v4-flash-20260731,OK,可用,
qiniu,deepseek/deepseek-v4-flash-vision-exp,OK,可用,
qiniu,deepseek/deepseek-v4-pro-0813,OK,可用,
qiniu,moonshotai/kimi-k3,OK,可用,
qiniu,qwen/qwen3.8-max,OK,可用,
qiniu,tencent/hy4-preview,OK,可用,
qiniu,z-ai/glm-5.3,OK,可用,
qiniu,z-ai/glm-5.3-flash,OK,可用,
sennsenova,deepseek-v4-flash,RATE_LIMIT,可用,复测通过（首轮为瞬时失败：RATE_LIMIT）
sennsenova,deepseek-v4-pro,RATE_LIMIT,可用,复测通过（首轮为瞬时失败：RATE_LIMIT）
sennsenova,kimi-k3,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""error"":{""message"":""token plan entitlement exhausted"",""type"":""quota_exceeded_error"",""code"
tokenrhythm01,deepseek-flash,OK,可用,
tokenrhythm01,deepseek-v4-flash-0731,OK,可用,
tokenrhythm01,deepseek-v4-pro-0813,OK,可用,
tokenrhythm01,glm-5.2,OK,可用,
tokenrhythm01,glm-5.3,OK,可用,
tokenrhythm01,glm-5.3-flash,OK,可用,
tokenrhythm01,kimi-k2.6,OK,可用,
tokenrhythm01,kimi-k2.7-code,OK,可用,
tokenrhythm01,mimo-v2.5-pro,OK,可用,
tokenrhythm01,qwen3.7-flash,OK,可用,
tokenrhythm01,qwen3.8-flash,OK,可用,
tokenrhythm01,qwen3.8-max,OK,可用,
tokenrhythm01,seed-2.1-pro,OK,可用,
tokenrhythm01,seed-2.1-turbo,OK,可用,
tokenrouter,z-ai/glm-5.3-free,SERVER,账户,"模型 slug 已下线（上游无可用通道）＋账户余额 $0：{""error"":{""code"":""model_not_found"",""message"":""No available channel for"
xiaomi-token-plan-cn,mimo-v2-pro,AUTH,账户,"API Key 无效（/models 同样 401 invalid_key）：{     ""error"": {         ""message"": ""Invalid API Key"",         ""param"""
xiaomi-token-plan-cn,mimo-v2.5,AUTH,账户,"API Key 无效（/models 同样 401 invalid_key）：{     ""error"": {         ""message"": ""Invalid API Key"",         ""param"""
xiaomi-token-plan-cn,mimo-v2.5-pro,AUTH,账户,"API Key 无效（/models 同样 401 invalid_key）：{     ""error"": {         ""message"": ""Invalid API Key"",         ""param"""
yidong,DeepSeek-V4-Flash,OK,可用,
zhipu-ai,glm-4-flash,OK,可用,
zhipu-ai,glm-4.7-flash,RATE_LIMIT,限流,"上游限流/额度用尽（会恢复）：{""error"":{""code"":""1305"",""message"":""该模型当前访问量过大，请您稍后再试""}}"
