provider,model,usable,category,latencyMs,kind,note
"amd","DeepSeek-V4.1-Flash","NO","上游临时","","RATE_429","上游限流/繁忙（会自行恢复）"
"amd","Qwen3.8-Flash-Next","YES","可用","1883","",""
"apinex","free/deepseek-v4-flash-0731","NO","上游临时","","RATE_429","上游限流/繁忙（会自行恢复）"
"apinex","free/deepseek-v4-pro-0813","NO","上游临时","","RATE_429","上游限流/繁忙（会自行恢复）"
"apinex","free/deepseek-v4.1-flash","NO","需要你操作","","QUOTA_402","该模型仅限订阅用户"
"apinex","free/gemini-3.8-flash","NO","需要你操作","","QUOTA_402","该模型仅限订阅用户"
"apinex","free/glm-5.3-flash","NO","需要你操作","","QUOTA_402","免费模型需每日签到"
"apinex","free/gpt-5.6-luna","NO","需要你操作","","QUOTA_402","免费模型需每日签到"
"apinex","free/mimo-v2.5","NO","需要你操作","","QUOTA_402","免费模型需每日签到"
"apinex","free/muse-spark-1.3","NO","需要你操作","","QUOTA_402","该模型仅限订阅用户"
"apinex","free/qwen-3.8-max","NO","需要你操作","","QUOTA_402","该模型仅限订阅用户"
"baidu-qianfan","ernie-4.5-turbo-128k","YES","可用","1205","",""
"baidu-qianfan","ernie-4.5-turbo-32k","YES","可用","802","",""
"baidu-qianfan","ernie-4.5-turbo-vl","YES","可用","572","",""
"codecraft","claude-fable-5","YES","可用","10542","",""
"codecraft","claude-mythos-preview","YES","可用","8202","",""
"codecraft","claude-opus-5","YES","可用","10484","",""
"codecraft","gpt-5.6-sol","YES","可用","21058","",""
"codecraft","kimi-k3","YES","可用","13105","",""
"codecraft","qwen3.8-max","YES","可用","15359","",""
"duoyuanx","gpt-5.4","NO","需要你操作","","FORBIDDEN_403","该分组未配置可用的 Codex 美元预算"
"duoyuanx","gpt-5.5","NO","需要你操作","","FORBIDDEN_403","该分组未配置可用的 Codex 美元预算"
"duoyuanx","gpt-5.6-luna","NO","需要你操作","","FORBIDDEN_403","该分组未配置可用的 Codex 美元预算"
"duoyuanx","gpt-5.6-sol","NO","需要你操作","","FORBIDDEN_403","该分组未配置可用的 Codex 美元预算"
"duoyuanx","gpt-5.6-terra","NO","需要你操作","","FORBIDDEN_403","该分组未配置可用的 Codex 美元预算"
"groq","openai/gpt-oss-120b","YES","可用","1596","",""
"groq","openai/gpt-oss-20b","YES","可用","1168","",""
"groq","qwen/qwen3.8-27b","YES","可用","790","",""
"hy3-free","hy3","YES","可用","945","",""
"hy3-free","hy3-preview","YES","可用","1379","",""
"justdowork","claude-opus-5","NO","需要你操作","","FORBIDDEN_403","站点被 Cloudflare 403 拦截（服务端）"
"justdowork","claude-opus-5-thinking","NO","需要你操作","","FORBIDDEN_403","站点被 Cloudflare 403 拦截（服务端）"
"modelscope","deepseek-ai/DeepSeek-V4-Flash-0731","NO","需要你操作","","RATE_429","账户额度不足（账号级，所有模型同错）"
"modelscope","deepseek-ai/DeepSeek-V4-Pro-0813","NO","需要你操作","","RATE_429","账户额度不足（账号级，所有模型同错）"
"modelscope","deepseek-ai/DeepSeek-V4.1-Flash","NO","需要你操作","","RATE_429","账户额度不足（账号级，所有模型同错）"
"opencode-go","deepseek-v4-flash","NO","需要你操作","","AUTH_401","账户余额不足（opencode-go CreditsError）"
